epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.205,1.51654,4.27842,1.69487,0.18914,0.38547,0.19675,0.05723,1.28046,45.9177,1.72185,0.0006,0.0006,0.0006
2,240.752,1.72557,4.01606,1.81011,0.00097,0.81006,0.01003,0.00208,1.75028,37.9254,1.85449,0.00117169,0.00117169,0.00117169
3,359.966,1.80158,3.85362,1.91096,0.01532,0.17877,0.00756,0.00206,1.91848,52.067,1.94392,0.00169427,0.00169427,0.00169427
4,475.438,1.92606,3.45,2.01094,0.04028,0.22905,0.02573,0.00858,1.65708,448.703,1.801,0.0017624,0.0017624,0.0017624
5,592.485,1.84242,3.0391,1.9003,0.10183,0.28492,0.05434,0.01752,1.65637,235.169,1.72521,0.0016832,0.0016832,0.0016832
6,708.869,1.80603,2.81132,1.84207,0.05778,0.40782,0.06305,0.01396,1.93457,362.393,2.1532,0.001604,0.001604,0.001604
7,825.168,1.79533,2.73569,1.85197,0.11927,0.37989,0.17736,0.05868,1.67816,202.433,1.90112,0.0015248,0.0015248,0.0015248
8,939.659,1.80263,2.54946,1.81217,0.47915,0.43575,0.35016,0.13974,1.36436,10.9749,1.40454,0.0014456,0.0014456,0.0014456
9,1054.4,1.69718,2.38883,1.79471,0.45716,0.35754,0.29271,0.09275,1.44093,8.29465,1.51439,0.0013664,0.0013664,0.0013664
10,1168.3,1.6398,2.3069,1.73476,0.72078,0.17318,0.2414,0.09122,1.45595,22.255,1.60903,0.0012872,0.0012872,0.0012872
11,1282.59,1.61526,2.12185,1.66592,0.63182,0.53688,0.58309,0.31493,1.1688,5.39335,1.21202,0.001208,0.001208,0.001208
12,1408.39,1.56742,2.00585,1.66778,0.71478,0.58659,0.62812,0.32569,1.0777,8.74513,1.12667,0.0011288,0.0011288,0.0011288
13,1522.23,1.53219,1.85534,1.61867,0.65584,0.58101,0.64281,0.31792,1.13473,5.78281,1.18836,0.0010496,0.0010496,0.0010496
14,1636.51,1.56693,1.85875,1.63444,0.58956,0.60894,0.56924,0.26717,1.19396,5.31696,1.21503,0.0009704,0.0009704,0.0009704
15,1751.75,1.44248,1.76191,1.54457,0.76834,0.65363,0.70728,0.3735,1.08758,5.02636,1.14507,0.0008912,0.0008912,0.0008912
16,1877.8,1.50738,2.96228,1.59535,0.88329,0.50739,0.68031,0.33732,1.07867,5.48633,1.11573,0.000812,0.000812,0.000812
17,2032.68,1.64585,1.99915,1.78777,0.66692,0.6376,0.68139,0.33804,1.04682,13.126,1.14039,0.0007328,0.0007328,0.0007328
18,2221.67,1.52316,1.9098,1.70487,0.6954,0.72626,0.73656,0.39423,1.04933,4.45919,1.10802,0.0006536,0.0006536,0.0006536
19,2413.95,1.51427,1.66837,1.64329,0.65388,0.74302,0.74212,0.4061,0.96526,3.90671,1.02627,0.0005744,0.0005744,0.0005744
20,2602.35,1.38394,2.01185,1.60095,0.69322,0.68715,0.76833,0.43617,0.9444,3.67998,0.98592,0.0004952,0.0004952,0.0004952
21,2796.65,1.33881,1.62573,1.53811,0.74517,0.69274,0.79993,0.45514,0.96197,2.69631,1.00534,0.000416,0.000416,0.000416
22,2979.15,1.3406,1.48689,1.56523,0.73829,0.7486,0.79995,0.43302,0.98759,2.61899,1.03147,0.0003368,0.0003368,0.0003368
23,3104.94,1.39153,1.40535,1.58084,0.81891,0.70737,0.82648,0.45849,0.9077,2.3057,0.97412,0.0002576,0.0002576,0.0002576
24,3217.91,1.38835,1.43661,1.5399,0.81151,0.72156,0.83933,0.49113,0.89431,2.14519,0.96872,0.0001784,0.0001784,0.0001784
25,3332,1.29862,1.31221,1.46014,0.70968,0.84916,0.84672,0.5099,0.85996,2.15061,0.9437,9.92e-05,9.92e-05,9.92e-05
