epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.276,1.49415,2.61322,1.64488,0.56572,0.44898,0.41064,0.17834,0.74079,12.7419,0.80479,0.0006,0.0006,0.0006
2,404.265,1.70309,2.29089,1.78991,0.77625,0.39796,0.51258,0.25637,0.78698,3.91336,0.81687,0.00117169,0.00117169,0.00117169
3,628.871,1.65136,2.30579,1.82671,0.49433,0.27935,0.29011,0.11637,0.92504,4.60308,1.03811,0.00169427,0.00169427,0.00169427
4,857.994,1.85727,2.63048,1.94614,0.33945,0.20408,0.15719,0.04037,1.15445,8.77042,1.2412,0.0017624,0.0017624,0.0017624
5,1042.04,1.75411,2.30251,1.78355,0.31958,0.31633,0.18723,0.05386,1.05857,10.6459,1.07,0.0016832,0.0016832,0.0016832
6,1227.11,1.6611,2.37589,1.75568,0.67753,0.45025,0.49481,0.2081,0.81428,4.48833,0.90161,0.001604,0.001604,0.001604
7,1468.82,1.75316,2.30745,1.85165,0.46349,0.54082,0.43278,0.18729,0.79951,3.63997,0.8909,0.0015248,0.0015248,0.0015248
8,1694.93,1.69452,2.69204,1.77602,0.56632,0.42857,0.41873,0.18125,0.92324,5.05191,0.95572,0.0014456,0.0014456,0.0014456
9,1907.05,1.76086,2.30906,1.79832,0.60405,0.38919,0.46102,0.23648,0.83179,16.1154,0.8798,0.0013664,0.0013664,0.0013664
10,2132.17,1.62584,2.41723,1.72519,0.65322,0.5,0.55327,0.29329,0.7393,7.29796,0.8196,0.0012872,0.0012872,0.0012872
11,2374.67,1.65324,2.35369,1.67573,0.56864,0.57143,0.58077,0.31311,0.75885,4.80641,0.82877,0.001208,0.001208,0.001208
12,2568.28,1.73073,2.02785,1.73056,0.54134,0.56122,0.56407,0.30888,0.68735,2.13318,0.75433,0.0011288,0.0011288,0.0011288
13,2832.98,1.51273,2.08803,1.62777,0.50782,0.60204,0.55625,0.324,0.65746,1.81543,0.74894,0.0010496,0.0010496,0.0010496
14,3080.57,1.51944,1.85161,1.672,0.70414,0.58288,0.65051,0.34373,0.74974,2.5689,0.7884,0.0009704,0.0009704,0.0009704
15,3444.47,1.43049,1.78882,1.59123,0.83128,0.54082,0.65,0.35117,0.6834,2.5242,0.72703,0.0008912,0.0008912,0.0008912
16,3679.15,1.3993,2.58814,1.532,0.7815,0.36735,0.55451,0.30807,0.64012,2.99952,0.72905,0.000812,0.000812,0.000812
17,3931.94,1.48268,1.86902,1.64149,0.72061,0.64286,0.66668,0.38811,0.63603,2.99644,0.71316,0.0007328,0.0007328,0.0007328
18,4186.8,1.45366,1.92956,1.60341,0.81562,0.54166,0.69818,0.37616,0.64813,2.5652,0.70589,0.0006536,0.0006536,0.0006536
19,4435.16,1.34587,1.64167,1.49998,0.69702,0.65734,0.72807,0.38161,0.68652,1.9747,0.73431,0.0005744,0.0005744,0.0005744
20,4675.43,1.31241,1.794,1.51159,0.71967,0.68367,0.76491,0.42333,0.6689,1.37796,0.73208,0.0004952,0.0004952,0.0004952
21,4858.59,1.37799,1.50629,1.60759,0.7628,0.62349,0.74856,0.41993,0.61833,1.44268,0.6912,0.000416,0.000416,0.000416
22,5053.76,1.32542,1.61991,1.6207,0.78346,0.68367,0.79231,0.43965,0.59968,1.29149,0.67639,0.0003368,0.0003368,0.0003368
23,5253.52,1.35169,1.29479,1.57181,0.7086,0.7444,0.77479,0.42926,0.59532,1.23739,0.67858,0.0002576,0.0002576,0.0002576
24,5450.02,1.32375,1.23459,1.55472,0.72353,0.74773,0.78524,0.45678,0.53545,1.11067,0.64008,0.0001784,0.0001784,0.0001784
25,5648.75,1.1312,1.29056,1.34097,0.79127,0.78571,0.82149,0.49143,0.53388,1.00511,0.63725,9.92e-05,9.92e-05,9.92e-05
